ResponseId,age,sex,race,V1-1AC,V1-2AC,V1-3AC,V1-4AC,AC,Version,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_0UGNF38zQAPwzDP,18,1,2,4,3,2,1,1,2,3,3,2,3,3,3,3,4,4,2,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2
R_10IaOwET9h4Jczh,20,2,1,3,2,1,4,1,1,2,4,4,4,4,4,3,3,3,2,2,3,3,1,1,3,1,1,2,4,3,4,3,3,3
R_10TyWnXOhghpgLp,18,2,1,1,4,3,2,1,2,4,2,2,1,2,2,2,1,2,3,3,3,3,4,2,4,3,4,4,1,1,2,1,1,1
R_11jVM2NWWMYrbAw,18,2,2,3,2,1,4,1,1,2,3,3,2,4,4,1,1,1,4,1,1,1,2,2,2,2,2,2,3,4,3,3,3,3
R_129heM0eUhtKNtw,18,2,2,2,1,4,3,1,1,1,2,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,2,1,4,4,1,4,2
R_1dhwxxUXGqVJytU,21,1,6,3,2,1,4,1,1,2,3,2,4,4,4,4,3,1,4,2,1,1,2,2,4,3,2,2,3,3,4,2,3,3
R_1flzNusXLUU6O7k,20,2,2,2,1,4,3,1,1,1,2,3,1,2,3,1,3,3,3,3,2,3,4,1,1,3,3,2,4,1,2,4,4,2
R_1g0dv050jhYEzfD,18,1,7,1,4,3,2,1,2,4,2,3,1,2,2,1,1,1,2,3,3,1,1,3,3,2,3,4,1,1,1,3,1,1
R_1i2lcqt1fHBhGmf,18,1,4,2,1,4,3,1,1,1,1,1,1,4,4,1,2,2,4,2,4,2,3,3,3,3,3,3,1,1,4,4,4,1
R_1jlzGWPrdBTVGeo,20,1,2,3,2,1,4,1,1,2,4,1,2,4,4,2,1,2,4,2,1,1,2,2,2,2,2,2,3,1,3,3,3,3
R_1K7OVEmuYsuQn91,19,1,1,1,4,3,2,1,2,4,2,2,3,2,2,2,3,4,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1
R_1K8PQWXbzKL8Qmg,18,2,1,4,3,2,1,1,2,3,2,2,2,2,2,1,4,4,4,4,4,4,3,1,1,3,1,1,3,3,3,3,3,2
R_1M08TVRJUXchUSN,18,1,4,1,4,3,2,1,2,4,3,2,2,2,4,2,4,3,4,3,4,3,3,1,1,2,4,2,2,4,3,3,3,3
R_1M5KMwyiyuZTDr3,20,1,1,1,4,3,2,1,2,4,2,3,2,2,2,4,3,3,4,3,3,3,1,4,4,3,4,4,1,1,1,4,1,1
R_1mf4IbgR29VZyzA,22,2,1,3,2,1,4,1,1,2,3,2,4,2,3,2,3,2,1,1,1,1,2,2,1,1,1,3,3,3,4,4,2,1
R_1Ns1dsPjQOm25n5,19,1,5,4,3,2,1,1,2,3,3,3,4,3,3,3,4,4,3,4,4,4,1,2,1,1,1,1,2,4,2,2,2,2
R_1OiASxwLEpZrcJf,18,1,6,2,1,4,3,1,1,1,2,4,1,2,4,4,1,3,3,3,3,3,3,2,4,2,4,2,2,1,4,3,3,4
R_1PTAikOmpAvlsGQ,18,1,4,3,2,1,4,1,1,2,4,4,4,4,4,4,3,3,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
R_1Q3phW3q7LMR9uv,19,1,7,3,2,1,4,1,1,2,4,4,1,3,3,4,3,3,3,1,2,1,2,2,3,1,2,3,3,1,1,4,4,1
R_1QgPLSzPUp7uxjb,20,2,3,4,3,2,1,1,2,3,4,4,3,3,3,4,4,4,3,1,3,4,2,2,1,4,1,2,2,1,2,2,2,2
R_1QyBBXpbsqMK65t,19,2,6,4,3,2,1,1,2,3,2,4,4,2,3,2,2,4,3,4,3,3,2,2,2,4,2,1,2,4,1,3,2,3
R_1rc7hAEGhSYu1oD,18,2,1,3,2,1,4,1,1,2,4,3,1,4,4,4,3,1,4,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
R_22P9C7cE5UkwXcN,18,2,2,1,4,3,2,1,2,4,2,1,1,2,2,2,3,3,1,3,1,3,4,4,4,4,4,4,2,3,3,1,3,2
R_232WWW79R7GWFfI,27,1,2,4,3,2,1,1,2,3,1,4,3,3,3,4,4,3,4,4,3,4,2,3,3,2,3,3,2,2,2,2,2,1
