ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Condition,Version,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_1fZ12OIRCtVayqS,18,1,7,2,1,4,3,1,1,1,1,1,2,4,1,1,2,2,2,4,1,2,2,3,1,3,3,1,3,4,3,1,1,2,4
R_PZdr4ghjQgKzxHr,19,2,6,2,1,4,3,1,1,1,1,1,1,1,2,1,4,4,3,1,2,2,2,3,3,4,3,3,3,4,4,2,4,4,4
R_2dutzwyQZdaNvxl,20,1,2,2,1,4,3,1,1,1,1,1,1,1,1,1,1,2,4,4,2,4,2,4,4,3,3,3,3,2,4,1,4,4,4
R_SBIC68m2dLV0VmF,19,2,2,2,1,3,3,1,1,1,1,1,4,4,1,1,4,2,4,2,2,2,2,3,3,3,2,2,4,3,3,4,3,4,3
R_3MEtJyD446YpQLM,18,2,1,2,1,4,3,1,1,1,1,1,1,1,1,2,4,2,2,2,2,2,2,4,3,3,3,3,3,4,4,4,4,4,4
R_zYfCpqyJbADlScp,18,2,1,2,1,4,3,1,1,1,1,1,4,1,1,1,1,3,2,1,2,2,2,4,3,3,3,3,4,4,2,1,4,4,2
R_3kAt8jZ6SqBza0n,18,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,3,3,3,4,4,4,4,4,4
R_2OVey0WwkENdthy,18,2,4,2,1,4,3,1,1,1,1,1,1,3,1,1,2,2,2,4,4,4,4,2,4,3,3,3,3,4,2,4,2,2,2
R_1LBUu5bwujC1AQD,19,1,1,2,1,1,3,0.75,1,1,1,1,4,3,4,3,4,1,4,2,2,2,2,2,2,2,2,4,2,1,1,3,4,1,1
R_UaOTPvPlSDj9Zmh,22,1,3,2,1,4,3,1,1,1,1,1,4,4,4,4,4,1,2,4,2,1,4,2,2,2,3,3,3,4,1,1,4,2,1
R_1r1XbGkZADCf3Ds,19,2,6,2,1,4,3,1,1,1,1,1,2,2,1,1,2,4,2,2,2,2,2,3,2,3,3,1,1,4,4,4,4,4,4
R_25EGF9lHUU0AYLS,22,2,1,2,1,4,3,1,1,1,1,1,1,3,1,3,3,2,2,3,1,1,2,3,3,3,3,3,3,4,4,4,4,4,4
R_1LInoVYu4K5nGlW,26,1,1,2,1,4,3,1,1,1,1,1,4,1,1,1,2,2,2,2,3,2,3,3,3,4,3,3,4,2,3,4,3,4,4
R_yQgZSh3fo8upanf,20,2,6,2,1,4,3,1,1,1,1,1,4,1,1,1,1,4,2,4,2,2,2,4,3,3,3,3,3,4,4,4,4,4,4
R_3svs7pkNd0Q9yBl,20,2,2,2,1,4,3,1,1,1,1,1,4,1,1,4,4,2,2,3,2,3,2,3,3,3,3,3,4,4,2,4,1,1,1
R_3G9Eus7TpfPYJRh,18,1,3,2,1,4,3,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4,4
R_3dEZx84efZNQ6xt,17,2,6,2,1,4,3,1,1,1,1,2,1,1,1,1,3,2,1,2,2,2,2,2,3,3,3,3,1,4,4,3,4,4,4
R_1GOWJNnVgqUdDoc,18,2,1,2,1,4,3,1,1,1,1,2,1,2,3,2,1,2,1,1,2,1,1,3,3,3,3,1,1,4,4,2,4,4,4
R_12aKgo7mqc8VPqA,20,1,6,2,1,4,3,1,1,1,1,3,2,4,1,1,1,1,4,1,2,3,4,2,3,3,2,1,2,1,2,4,1,2,4
R_5uNmYwDWWqOLoNX,18,1,2,2,1,4,3,1,1,1,1,3,1,3,1,1,1,2,2,2,2,2,2,1,3,3,3,3,1,4,4,3,4,4,4
R_3EJNIh4fT3PZxgX,19,2,2,2,1,4,3,1,1,1,1,3,4,1,1,1,1,1,4,3,3,3,4,2,3,4,2,1,1,3,2,4,2,2,2
R_3O7mfFUzy8zkNMh,18,2,3,2,1,4,3,1,1,1,1,4,4,3,2,4,4,2,4,4,2,4,2,2,3,3,3,3,3,1,1,1,1,1,1
R_2CwjK2JPwogGVtW,20,1,7,2,1,4,3,1,1,1,1,4,1,4,3,3,2,4,3,4,3,4,2,2,3,4,4,3,4,3,2,4,4,2,3
R_1j85TscjxiYoggn,18,2,1,2,1,4,3,1,1,1,1,4,1,1,1,1,1,2,4,1,2,4,4,3,3,3,3,3,1,3,3,2,2,4,4
R_3h5ykk5u8NZkEjy,19,2,2,2,1,4,3,1,1,1,1,4,1,1,4,1,1,2,2,2,2,4,4,3,3,3,3,3,3,4,4,1,1,1,1
R_3gXvEAVgQPOICbg,19,1,2,3,2,1,4,1,1,1,2,1,4,3,4,3,4,2,3,1,2,2,1,3,2,2,1,3,1,2,3,3,2,2,3
R_1jGQhMq4vVCn4vX,18,1,2,3,2,1,4,1,1,1,2,1,4,1,3,2,4,4,4,4,3,1,2,4,3,2,2,2,4,3,4,3,3,1,3
R_2TvKzXZSg66d4uX,18,2,1,3,2,1,4,1,1,1,2,1,4,1,4,3,2,1,4,3,1,1,3,4,2,4,2,2,3,3,3,3,4,1,3
R_2tlheBnnx058zG1,19,1,4,3,2,1,4,1,1,1,2,2,3,3,4,4,4,1,1,1,1,1,1,2,2,2,1,2,4,3,3,3,3,3,3
R_12yWoEluD3eUuob,18,2,5,3,2,1,4,1,1,1,2,2,2,2,2,2,2,1,1,2,4,1,1,4,4,4,1,2,4,3,3,3,3,1,3
R_0dprrDec2UN5xmx,19,2,6,3,2,1,4,1,1,1,2,2,2,4,2,2,1,1,3,2,1,1,1,2,4,3,4,4,1,2,4,3,3,3,3
R_2THtkd2NR9SMBl0,18,2,5,3,2,1,4,1,1,1,2,2,2,1,4,1,4,4,2,1,2,1,2,3,2,1,2,2,4,3,3,3,3,3,4
R_1fjxqE3kJglTMrc,19,1,6,3,2,1,4,1,1,1,2,3,2,2,4,4,4,1,2,1,1,1,1,1,2,2,2,1,2,3,3,3,1,3,3
R_2v8pZXXrxUtCeBg,19,2,4,3,2,1,4,1,1,1,2,3,1,3,3,3,4,1,1,1,1,1,1,2,3,2,2,3,2,4,1,3,4,4,4
R_1dcySdVwUqnudlo,18,1,2,3,2,1,4,1,1,1,2,4,4,4,2,4,4,1,1,1,1,1,1,2,2,4,2,2,2,3,3,3,3,3,3
R_27s7CFijuvTzkG9,18,2,5,3,2,1,4,1,1,1,2,4,4,4,4,4,1,1,1,4,3,1,3,3,2,1,2,2,2,1,3,3,3,3,3
R_x4y0AoAiJb5rpYd,19,2,6,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,1,1,1,2,3,2,2,2,2,2,2,3,3,3,3,3
R_21EAbi6jIQVTj16,19,2,7,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,2,1,1,2,1,2,2,2,2,1,2,3,3,3,3,3,3
R_3sb6irTyNFJKBsF,18,2,1,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,3,1,3,1,1,2,1,3,2,2,2,3,3,3,3,3,3
R_2Sr9gCZtUOm2K2w,18,2,6,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
R_2wbfyn8wPRzwocL,19,1,1,3,2,1,4,1,1,1,2,4,1,1,1,3,3,4,3,4,3,4,3,2,2,2,2,2,2,3,1,3,4,3,3
R_2Vx4SJQDCzvl9eC,18,2,6,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,1,1,1,1,1,2,2,2,2,2,4,3,3,3,3,3,3
R_24wJiEZcr9GpW5o,18,2,1,3,2,1,4,1,1,1,2,4,3,4,4,4,4,1,1,1,3,1,1,2,2,2,2,2,2,1,1,3,3,3,3
R_1IRAfKtYDRlvUFL,20,1,1,3,2,1,4,1,1,1,2,4,3,4,3,4,2,2,4,2,1,1,1,3,1,3,2,2,2,3,3,2,2,3,3
R_2QYCO0g3Pnanlzk,20,1,2,3,2,1,4,1,1,1,2,4,3,4,4,4,4,2,2,1,1,1,1,2,2,2,2,4,4,3,3,3,3,3,3
R_zViAeBtoI8hD9e1,20,1,1,3,2,1,4,1,1,1,2,4,2,4,4,4,4,1,1,1,3,3,1,1,2,2,2,2,4,4,1,4,3,3,3
R_3PNpQwD9E1luHp3,20,2,5,3,2,1,4,1,1,1,2,4,1,4,4,4,4,1,1,2,1,1,1,2,4,2,2,2,2,4,1,3,3,3,3
