ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_s4O4QvvAQQ2h70J,18,2,1,2,1,4,3,1,1,1,1,1,1,3,2,1,3,2,2,1,2,3,2,4,4,4,4,4,4,2,3,3,3,3,3
R_3CH0BVBA4VK7HDK,19,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,4,2,2,2,2,3,2,3,3,3,3,1,1,4,4,4,4,4,4
R_2cvy7FBuli0Lcfv,18,2,2,2,1,4,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
R_2aEb73U6tWKK255,19,1,1,2,1,4,3,1,1,1,1,1,1,4,1,2,4,2,3,3,2,2,2,3,3,1,3,4,3,3,3,2,4,4,3
R_3Oc4Je5UR1f0hln,18,2,1,2,1,4,3,1,1,1,1,1,1,4,1,1,1,1,2,2,2,2,4,4,3,4,3,4,1,4,4,4,4,4,1
R_3jUv5sgQIINxnK5,19,1,5,2,1,4,3,1,1,1,1,1,1,4,1,1,1,4,3,2,2,4,3,4,2,3,2,3,3,3,3,1,4,4,4
R_1jqzOyVJEj2KfMn,19,1,2,2,1,4,3,1,1,1,1,1,4,1,1,1,3,3,4,1,2,2,2,3,3,3,3,1,2,2,4,2,4,4,4
R_1DMxJ9kXJr8uU4Z,19,2,1,2,1,4,3,1,1,1,1,1,1,3,1,1,1,4,2,4,2,2,2,4,3,3,3,3,4,1,4,4,2,4,4
R_3QWA73IA1XJVMON,21,1,2,2,1,4,3,1,1,1,1,1,2,1,1,1,4,3,2,2,3,2,3,3,3,3,3,2,3,4,4,4,3,4,4
R_1myjMfpcxaM67PP,19,2,6,2,1,4,3,1,1,1,1,1,1,1,3,1,1,3,2,3,2,1,2,1,1,3,1,3,3,4,4,4,4,1,4
R_3NZXRvZnugU6dzV,18,2,1,2,1,4,3,1,1,1,1,2,2,4,1,1,1,1,4,2,2,2,2,4,3,4,3,3,3,4,3,2,4,1,4
R_1DZ0SqjRal9ZF2f,18,2,6,2,1,4,3,1,1,1,1,2,2,2,2,2,2,1,3,1,4,1,3,4,1,4,3,4,3,2,4,4,4,4,4
R_2v2GXDShUuWmW9u,20,1,2,1,1,4,3,0.75,1,1,1,2,4,1,2,1,2,4,2,1,4,4,4,3,3,2,3,3,3,2,4,2,4,4,4
R_1Hdy6Vy71RWDkUW,18,1,2,2,1,4,3,1,1,1,1,2,1,1,1,1,2,4,2,2,2,2,2,4,3,3,3,2,3,4,1,4,4,4,4
R_3huNrSxPSG6p9TL,19,2,7,2,1,4,3,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4
R_Tkl9ncus3VfHy2B,20,2,5,1,1,4,3,1,1,1,1,2,2,2,1,1,1,2,2,1,3,2,1,4,3,2,1,2,3,4,4,4,4,4,2
R_1latoPX2MW9tMq5,18,2,2,2,1,1,3,0.75,1,1,1,2,1,4,4,4,1,2,2,4,1,4,1,2,1,3,4,1,3,4,3,3,2,1,3
R_qCScwLhxpoxx9yV,20,2,5,2,1,4,3,1,1,1,1,2,3,3,3,1,4,3,2,2,3,1,1,2,3,2,4,2,3,4,1,2,3,4,4
R_1pVXmCEu5GAiLLD,19,2,2,2,1,4,3,1,1,1,1,2,3,4,2,2,2,2,2,1,2,1,2,3,3,4,3,3,3,1,3,1,3,4,4
R_1fkIQR323MaVCJ0,18,2,6,2,1,4,3,1,1,1,1,3,1,2,2,2,2,2,3,2,1,3,3,2,3,2,1,3,3,1,4,1,4,4,4
R_2CZBBUJKu8ZEJ7j,19,2,7,2,1,4,3,1,1,1,1,3,3,1,3,4,3,2,2,2,2,1,2,2,4,4,3,3,4,2,4,1,2,3,3
R_1IDYXVQDbaUgy9d,19,2,6,2,1,4,3,1,1,1,1,4,1,1,1,1,2,2,2,2,2,2,2,3,2,2,3,3,3,2,4,3,3,4,4
R_OvUttr3K2oelIVH,18,2,2,2,1,4,3,1,1,1,1,4,4,1,1,1,4,4,2,2,2,3,2,1,3,3,3,3,3,4,4,4,3,4,4
R_2wigxfBWaGM3jok,18,2,2,2,1,4,3,1,1,1,1,4,4,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
R_Uu9OFdiIl2zuzU5,19,2,2,3,2,1,4,1,1,1,2,1,4,4,4,1,4,3,1,1,1,1,1,2,2,1,2,2,2,3,3,3,3,3,3
R_PzKpXUeZH64zAtz,18,2,6,3,2,1,4,1,1,1,2,1,4,4,4,1,2,1,1,1,1,1,3,4,4,2,2,2,2,3,4,3,3,3,1
R_2uHXlM5ZQRVHa0V,19,1,6,3,2,1,4,1,1,1,2,2,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
R_a2xE4LJcMIsPAOd,19,2,1,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,1,1,1,1,1,2,2,4,2,1,2,3,3,1,3,3,3
R_ufDeq4G5opoabYt,21,2,5,3,2,1,4,1,1,1,2,4,4,2,4,4,1,1,1,1,1,3,1,2,1,2,2,2,2,3,3,1,3,3,3
R_2EGnzrdKyZwvRQJ,19,2,1,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,4,1,1,1,3,2,2,2,4,2,3,3,3,3,3,3
R_1KlGfbnaRMCvHM9,18,2,7,3,2,1,4,1,1,1,2,4,4,3,4,4,4,1,1,1,1,3,1,2,2,2,2,2,2,3,3,3,3,3,3
R_1OGN3IoxYlJhCwy,18,2,1,3,2,1,4,1,1,1,2,4,3,4,4,4,4,3,1,1,1,1,1,2,2,4,2,1,2,3,3,1,3,3,3
R_2rSDHgtMpHCXv60,18,1,2,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,1,1,1,3,3,2,2,2,4,2,3,3,3,3,3,3
R_1YyBMTua4mITCuZ,18,1,5,3,2,1,4,1,1,1,2,4,4,3,4,4,4,3,1,1,1,1,1,4,2,1,2,2,4,3,3,3,3,3,3
R_3e3TQBrkWqVrDAZ,18,2,7,3,2,1,4,1,1,1,2,4,1,2,4,4,4,3,1,2,1,3,2,1,1,1,1,1,2,3,3,3,3,3,3
R_2oxXnTUZ7jzvILT,18,2,2,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
R_yydiNTvOZjTUQVP,18,2,7,3,2,1,4,1,1,1,2,4,3,3,4,4,4,3,2,2,3,3,3,1,1,3,1,1,3,3,3,4,3,3,3
R_1N93rizQmyL8rEq,18,2,4,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,1,3,1,1,2,2,3,2,2,2,1,3,4,1,3,4
R_XNhEdWwSFkZ8kjD,19,2,1,3,2,1,4,1,1,1,2,4,3,4,4,4,4,3,3,4,1,4,1,3,2,2,2,2,2,4,3,4,1,3,3
R_3QKT7mOwegvBvgD,19,2,5,3,2,1,4,1,1,1,2,4,3,4,4,4,1,4,1,1,3,1,4,2,2,2,2,2,2,3,2,4,3,3,1
R_2t9Vwjf4fgjPRdT,20,2,7,3,2,1,4,1,1,1,2,4,2,2,3,2,1,4,4,2,3,1,1,1,3,2,1,3,1,2,3,4,2,3,3
R_wTSvg4U4e3Z5PfH,18,2,2,3,2,1,4,1,1,1,2,4,4,3,4,4,4,3,1,3,1,4,1,2,2,2,2,4,2,3,3,3,3,3,3
R_3dLdpoMWefCBIqN,19,2,2,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,3,3,3,3,1,2,2,3,2,2,2,1,1,4,1,3,1
