List_Num,Item,Type,Category ,Domain ,Violation,Story,Source,Condition,Correct,Order,Version,Question
1,The shovel felt heavy to hold and was a light brown in color.,INT,,,,V1-1,Sam,1,1,1,1,1_Test blockV1_INT
2,This rainbow was high in the sky and could be seen from the ground. ,INT,,,,V1-1,Sam,1,1,1,1,2_Test blockV1_INT
3,The rat ate insects off the ground and moved around quickly on all four of its feet.,INT,,,,V1-1,Sam,1,1,1,1,3_Test blockV1_INT
4,"This was a lizard that had a long, thin tail and could never die no matter what happened to it. ",MCI,Animal,Biology,Breach,V1-1,Sam,1,1,1,1,4_Test blockV1_MCI
5,The hammer had a wooden handle and needed food every day to stay strong. ,MCI,Artifact,Biology,Transfer,V1-1,Sam,1,1,1,1,5_Test blockV1_MCI
6,The rose swayed in the wind and could be in two different parts of the world at the exact same time.,MCI,Plant,Physics ,Breach,V1-1,Sam,1,1,1,1,6_Test blockV1_MCI
7,This was a rock that was thick and hard and looked shiny in the sunlight. ,INT,,,,V1-2,Ariel,1,2,1,1,7_Test blockV1_INT
8,The tulip had roots that went deep into the soil and needed sunshine to grow or else it would be small. ,INT,,,,V1-2,Ariel,1,2,1,1,8_Test blockV1_INT
9,The dog had soft fur and liked to play with toys.,INT,,,,V1-2,Ariel,1,2,1,1,9_Test blockV1_INT
10,The banana was very fresh and ripe and turned invisible a few minutes every day.,MCI,Plant,Physics ,Breach,V1-2,Ariel,1,2,1,1,10_Test blockV1_MCI
11,This was a fence that was covered with moss and was crying because it was sad.,MCI,Artifact,Psychology,Transfer,V1-2,Ariel,1,2,1,1,11_Test blockV1_MCI
12,The branch felt cold to the touch and could speak in French. ,MCI,Object,Psychology ,Transfer,V1-2,Ariel,1,2,1,1,12_Test blockV1_MCI
13,"That this river took time to cross over and was surrounded by cold, clear air. ",INT,,,,V1-3,Miguel,1,3,1,1,13_Test blockV1_INT
14,This was a mango that had a bright yellow skin and a very fruity and delicious smell.,INT,,,,V1-3,Miguel,1,3,1,1,14_Test blockV1_INT
15,The beetle stayed in the mud and moved slowly inch by inch.,INT,,,,V1-3,Miguel,1,3,1,1,15_Test blockV1_INT
16,This cactus was small in size and liked to sing loudly.,MCI,Plant,Biology,Transfer,V1-3,Miguel,1,3,1,1,16_Test blockV1_MCI
17,The cat had brown spots and could walk through solid walls.,MCI,Animal,Physics ,Breach,V1-3,Miguel,1,3,1,1,17_Test blockV1_MCI
18,This table was big and often would float in midair. ,MCI,Artifact,Physics ,Breach,V1-3,Miguel,1,3,1,1,18_Test blockV1_MCI
19,The mailbox was made of metal and had sharp edges along its corners. ,INT,,,,V1-4,Joanna ,1,4,1,1,19_Test blockV1_INT
20,The shrub was dark green and was growing next a stream.,INT,,,,V1-4,Joanna ,1,4,1,1,20_Test blockV1_INT
21,The chair was firm to the touch and could hold lots of weight.,INT,,,,V1-4,Joanna ,1,4,1,1,21_Test blockV1_INT
22,"The cloud was large and far away, and knew what happened in the future.",MCI,Object,Psychology,Transfer,V1-4,Joanna ,1,4,1,1,22_Test blockV1_MCI
23,The mountain was near a forest and could overhear everything people said by it.,MCI,Object,Psychology,Transfer,V1-4,Joanna ,1,4,1,1,23_Test blockV1_MCI
24,The earthworm hid in a log and knew everybody’s inner-most thoughts.,MCI,Animal,Psychology ,Breach,V1-4,Joanna ,1,4,1,1,24_Test blockV1_MCI
1,The shovel felt heavy to hold and was a light brown in color.,INT,,,,V2-1,Joanna ,1,4,2,1,1_Test blockV1_INT
2,This rainbow was high in the sky and could be seen from the ground. ,INT,,,,V2-1,Joanna ,1,4,2,1,2_Test blockV1_INT
3,The rat ate insects off the ground and moved around quickly on all four of its feet.,INT,,,,V2-1,Joanna ,1,4,2,1,3_Test blockV1_INT
4,"This was a lizard that had a long, thin tail and could never die no matter what happened to it. ",MCI,Animal,Biology,Breach,V2-1,Joanna ,1,4,2,1,4_Test blockV1_MCI
5,The hammer had a wooden handle and needed food every day to stay strong. ,MCI,Artifact,Biology,Transfer,V2-1,Joanna ,1,4,2,1,5_Test blockV1_MCI
6,The rose swayed in the wind and could be in two different parts of the world at the exact same time.,MCI,Plant,Physics ,Breach,V2-1,Joanna ,1,4,2,1,6_Test blockV1_MCI
7,This was a rock that was thick and hard and looked shiny in the sunlight. ,INT,,,,V2-2,Sam,1,1,2,1,7_Test blockV1_INT
8,The tulip had roots that went deep into the soil and needed sunshine to grow or else it would be small. ,INT,,,,V2-2,Sam,1,1,2,1,8_Test blockV1_INT
9,The dog had soft fur and liked to play with toys.,INT,,,,V2-2,Sam,1,1,2,1,9_Test blockV1_INT
10,The banana was very fresh and ripe and turned invisible a few minutes every day.,MCI,Plant,Physics ,Breach,V2-2,Sam,1,1,2,1,10_Test blockV1_MCI
11,This was a fence that was covered with moss and was crying because it was sad.,MCI,Artifact,Psychology,Transfer,V2-2,Sam,1,1,2,1,11_Test blockV1_MCI
12,The branch felt cold to the touch and could speak in French. ,MCI,Object,Psychology ,Transfer,V2-2,Sam,1,1,2,1,12_Test blockV1_MCI
13,"That this river took time to cross over and was surrounded by cold, clear air. ",INT,,,,V2-3,Ariel,1,2,2,1,13_Test blockV1_INT
14,This was a mango that had a bright yellow skin and a very fruity and delicious smell.,INT,,,,V2-3,Ariel,1,2,2,1,14_Test blockV1_INT
15,The beetle stayed in the mud and moved slowly inch by inch.,INT,,,,V2-3,Ariel,1,2,2,1,15_Test blockV1_INT
16,This cactus was small in size and liked to sing loudly.,MCI,Plant,Biology,Transfer,V2-3,Ariel,1,2,2,1,16_Test blockV1_MCI
17,The cat had brown spots and could walk through solid walls.,MCI,Animal,Physics ,Breach,V2-3,Ariel,1,2,2,1,17_Test blockV1_MCI
18,This table was big and often would float in midair. ,MCI,Artifact,Physics ,Breach,V2-3,Ariel,1,2,2,1,18_Test blockV1_MCI
19,The mailbox was made of metal and had sharp edges along its corners. ,INT,,,,V2-4,Miguel,1,3,2,1,19_Test blockV1_INT
20,The shrub was dark green and was growing next a stream.,INT,,,,V2-4,Miguel,1,3,2,1,20_Test blockV1_INT
21,The chair was firm to the touch and could hold lots of weight.,INT,,,,V2-4,Miguel,1,3,2,1,21_Test blockV1_INT
22,"The cloud was large and far away, and knew what happened in the future.",MCI,Object,Psychology,Transfer,V2-4,Miguel,1,3,2,1,22_Test blockV1_MCI
23,The mountain was near a forest and could overhear everything people said by it.,MCI,Object,Psychology,Transfer,V2-4,Miguel,1,3,2,1,23_Test blockV1_MCI
24,The earthworm hid in a log and knew everybody’s inner-most thoughts.,MCI,Animal,Psychology ,Breach,V2-4,Miguel,1,3,2,1,24_Test blockV1_MCI
1,The hammer felt heavy to hold and was a light brown in color.,INT,,,,V3-1,Miguel,1,3,3,2,1_Test blockV1_INT
2,This cloud was high in the sky and could be seen from the ground. ,INT,,,,V3-1,Miguel,1,3,3,2,2_Test blockV1_INT
3,The lizard ate insects off the ground and moved around quickly on all four of its feet.,INT,,,,V3-1,Miguel,1,3,3,2,3_Test blockV1_INT
