"","ID","Animal","Artifact","Object","Plant","Biology","Physics","Psychology","INT","MCI","age","sex","race","AC_1","AC_2","AC_3","AC_4","AC","Version","Condition","Order","1_Test blockV1_INT","2_Test blockV1_INT","3_Test blockV1_INT","4_Test blockV1_MCI","5_Test blockV1_MCI","6_Test blockV1_MCI","7_Test blockV1_INT","8_Test blockV1_INT","9_Test blockV1_INT","10_Test blockV1_MCI","11_Test blockV1_MCI","12_Test blockV1_MCI","13_Test blockV1_INT","14_Test blockV1_INT","15_Test blockV1_INT","16_Test blockV1_MCI","17_Test blockV1_MCI","18_Test blockV1_MCI","19_Test blockV1_INT","20_Test blockV1_INT","21_Test blockV1_INT","22_Test blockV1_MCI","23_Test blockV1_MCI","24_Test blockV1_MCI","Breach","Transfer"
"1",12,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0.25,0.8,0.333333333333333,0.416666666666667,18,1,2,3,2,1,4,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,4,4,4,4,4,4,3,2,2,3,3,3,0.333333333333333,0.5
"2",102,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0.5,0.4,0.333333333333333,0.5,18,1,1,4,3,2,1,1,2,1,3,4,4,3,3,1,3,2,3,1,3,4,1,1,2,4,1,3,1,2,2,3,4,4,2,0.666666666666667,0.333333333333333
"3",170,1,1,0.666666666666667,0.333333333333333,0.666666666666667,0.75,0.8,1,0.75,19,2,6,1,4,3,2,1,2,1,4,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,3,4,4,1,1,1,1,2,1,0.833333333333333,0.666666666666667
"4",178,0.333333333333333,0,0.333333333333333,0,0,0.25,0.2,0.333333333333333,0.166666666666667,18,2,6,4,1,3,4,0.5,1,2,1,3,1,1,3,3,4,4,4,3,1,3,1,2,2,2,2,3,1,3,4,4,1,4,3,0.166666666666667,0.166666666666667
"5",280,0.333333333333333,1,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.6,0.583333333333333,0.666666666666667,21,1,2,4,3,2,1,1,2,1,3,3,3,3,3,3,3,4,4,1,4,4,4,2,2,2,4,2,1,2,1,2,2,1,1,0.666666666666667,0.666666666666667
"6",397,0,0,0.333333333333333,0.333333333333333,0,0.25,0.2,0.166666666666667,0.166666666666667,19,1,6,1,2,3,4,1,2,2,4,1,2,4,4,4,2,4,2,3,1,4,4,3,3,1,2,3,3,3,2,3,1,2,3,0.166666666666667,0.166666666666667
"7",464,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.25,0.8,0.583333333333333,0.583333333333333,19,2,4,4,3,2,1,1,2,1,3,3,2,3,3,1,3,2,2,4,3,4,3,4,1,4,1,3,3,2,2,2,2,2,2,0.5,0.666666666666667
"8",548,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.25,0.8,0.416666666666667,0.5,21,2,1,3,2,1,4,1,1,1,2,3,1,4,4,3,1,1,3,3,1,1,1,2,2,4,4,4,1,3,4,4,3,3,2,0.333333333333333,0.666666666666667
"9",553,0.333333333333333,0,1,0.666666666666667,0.333333333333333,0.25,0.8,0.25,0.5,19,2,2,4,1,2,3,1,1,2,1,4,4,2,4,4,2,4,4,3,2,1,2,4,3,4,3,2,1,1,4,4,4,4,4,0.333333333333333,0.666666666666667
"10",673,0.666666666666667,0.666666666666667,1,1,1,0.75,0.8,0.833333333333333,0.833333333333333,19,1,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,2,2,3,3,3,4,3,4,4,1,4,4,4,0.833333333333333,0.833333333333333
"11",691,0,0.333333333333333,1,0.666666666666667,0.333333333333333,0.5,0.6,0.5,0.5,19,2,7,1,4,3,2,1,2,1,4,2,3,2,4,2,2,4,3,4,3,4,3,3,1,3,3,2,2,1,1,1,1,1,2,0.333333333333333,0.666666666666667
"12",700,1,0,1,0.666666666666667,0.666666666666667,0.5,0.8,0.666666666666667,0.666666666666667,19,2,1,1,2,3,4,1,2,2,4,3,1,2,2,3,2,3,3,3,2,2,3,4,1,4,4,4,2,1,3,1,1,1,1,0.666666666666667,0.666666666666667
