"","ID","Animal","Artifact","Object","Plant","Biology","Physics","Psychology","INT","MCI","Age","Sex","Race","Version","Condition","Order","1_Test blockV1_INT","2_Test blockV1_INT","3_Test blockV1_INT","4_Test blockV1_MCI","5_Test blockV1_MCI","6_Test blockV1_MCI","7_Test blockV1_INT","8_Test blockV1_INT","9_Test blockV1_INT","10_Test blockV1_MCI","11_Test blockV1_MCI","12_Test blockV1_MCI","13_Test blockV1_INT","14_Test blockV1_INT","15_Test blockV1_INT","16_Test blockV1_MCI","17_Test blockV1_MCI","18_Test blockV1_MCI","19_Test blockV1_INT","20_Test blockV1_INT","21_Test blockV1_INT","22_Test blockV1_MCI","23_Test blockV1_MCI","24_Test blockV1_MCI","Breach","Transfer"
"1",12,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0.25,0.6,0.25,0.333333333333333,18,1,2,1,1,2,2,2,2,2,2,2,1,3,1,1,1,2,4,4,4,4,4,4,3,1,2,3,3,2,0.166666666666667,0.5
"2",170,1,1,0.666666666666667,1,1,1,0.8,0.666666666666667,0.916666666666667,19,2,6,2,1,4,2,2,2,2,2,2,1,3,2,3,3,2,2,2,4,4,4,4,1,1,1,1,1,1,1,0.833333333333333
"3",178,0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.4,0.416666666666667,0.416666666666667,18,2,6,1,2,1,2,3,1,4,1,1,2,3,1,4,3,3,3,3,3,1,4,3,2,2,2,4,4,1,0.333333333333333,0.5
"4",280,0.666666666666667,0.333333333333333,0,0.666666666666667,0.666666666666667,0.5,0.2,0.666666666666667,0.416666666666667,21,1,2,2,1,3,3,4,3,3,3,3,4,4,4,4,3,1,1,4,1,2,2,2,1,4,2,4,4,2,0.666666666666667,0.166666666666667
"5",397,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.5,0.2,0.416666666666667,0.25,19,1,6,2,2,4,2,2,2,1,3,1,3,4,3,3,4,4,3,2,2,1,4,3,3,3,3,1,4,3,0.333333333333333,0.166666666666667
"6",464,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0.25,0.6,0.5,0.5,19,2,4,2,1,3,3,4,3,3,1,3,2,1,1,3,3,4,4,1,4,1,3,3,2,2,2,2,4,2,0.5,0.5
"7",548,0.666666666666667,0,0,0.333333333333333,0.666666666666667,0.25,0,0.166666666666667,0.25,21,2,1,1,1,2,1,3,3,4,2,1,4,3,2,2,3,2,1,2,3,2,2,3,2,4,3,1,4,1,0.333333333333333,0.166666666666667
"8",553,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.25,0.4,0.25,0.416666666666667,19,2,2,1,2,1,1,3,2,1,1,4,3,4,1,2,2,3,3,3,2,4,1,1,1,2,1,4,3,2,0.333333333333333,0.5
"9",673,0.666666666666667,1,1,0.666666666666667,1,0.5,1,0.666666666666667,0.833333333333333,19,1,1,1,2,1,1,2,1,1,1,1,4,2,2,3,2,2,3,3,3,3,2,3,2,4,1,4,4,4,0.666666666666667,1
"10",691,0.333333333333333,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.4,0.666666666666667,0.666666666666667,19,2,7,2,1,4,2,3,2,3,2,2,3,3,3,3,4,4,3,1,3,4,4,4,1,1,1,1,1,2,0.666666666666667,0.666666666666667
"11",700,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.5,0.4,0.666666666666667,0.333333333333333,19,2,1,2,2,4,1,2,2,3,3,2,3,3,3,4,2,3,4,1,4,3,4,3,2,2,1,1,2,3,0.333333333333333,0.333333333333333
"12",823,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.4,0.416666666666667,0.25,18,2,7,2,2,4,1,2,3,3,2,4,1,3,3,1,4,2,4,4,2,1,2,2,4,4,2,1,4,1,0.166666666666667,0.333333333333333
"13",833,0.333333333333333,0,0.333333333333333,0,0,0.25,0.2,0.166666666666667,0.166666666666667,18,2,1,2,1,4,3,1,3,4,3,4,1,3,4,4,2,2,2,2,1,2,4,3,1,2,2,1,3,2,0.166666666666667,0.166666666666667
"14",921,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.4,0.5,0.5,19,2,1,1,2,2,1,2,4,4,4,4,3,1,1,4,3,3,3,2,2,4,1,2,1,3,4,3,3,1,0.5,0.5
"15",928,1,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.8,0.75,0.583333333333333,19,2,4,2,2,3,3,3,3,3,2,3,4,4,4,1,4,2,4,1,1,4,1,4,1,3,2,2,2,2,0.666666666666667,0.5
"16",941,0,0.333333333333333,0,0.333333333333333,0,0.25,0.2,0.166666666666667,0.166666666666667,18,1,2,2,2,4,3,2,1,1,4,2,4,3,4,1,3,2,3,2,2,1,1,1,2,2,4,4,2,4,0.166666666666667,0.166666666666667
"17",969,0,0.666666666666667,0,0.333333333333333,0,0.5,0.2,0.333333333333333,0.25,18,2,5,2,2,3,2,1,4,2,2,4,4,4,2,4,4,1,1,3,4,2,3,1,2,3,3,3,4,4,0.333333333333333,0.166666666666667
"18",986,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,0.25,0.4,0.5,0.5,18,2,5,1,1,2,4,4,4,4,4,1,3,4,1,2,3,3,3,2,4,2,2,1,4,3,1,3,3,1,0.333333333333333,0.666666666666667
"19",1026,0.333333333333333,0,0.666666666666667,0,0,0,0.6,0.333333333333333,0.25,19,2,6,2,1,3,3,2,2,4,1,1,1,1,3,1,3,2,2,1,1,3,4,4,2,1,3,2,2,2,0.166666666666667,0.333333333333333
"20",1108,0.333333333333333,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.6,0.583333333333333,0.666666666666667,19,2,1,1,1,2,3,1,4,1,3,4,3,1,4,1,1,1,2,2,2,2,2,2,3,4,3,3,1,4,0.666666666666667,0.666666666666667
"21",1114,0.333333333333333,0.333333333333333,0.666666666666667,1,0.666666666666667,0.5,0.6,0.25,0.583333333333333,19,2,1,2,1,3,1,2,2,1,3,3,4,4,2,4,1,3,3,3,2,1,2,3,1,2,3,2,2,2,0.5,0.666666666666667
"22",1154,1,0.666666666666667,0.666666666666667,1,1,1,0.6,0.583333333333333,0.833333333333333,19,1,1,2,2,4,2,4,2,2,2,2,3,3,4,3,4,3,3,1,3,4,4,4,1,1,1,4,1,1,1,0.666666666666667
"23",1181,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0.5,0.6,0.666666666666667,0.666666666666667,18,2,2,1,1,1,1,1,3,1,1,4,2,2,1,3,4,4,3,3,3,3,3,3,2,2,4,4,4,4,0.666666666666667,0.666666666666667
"24",1234,0.333333333333333,1,1,1,0.666666666666667,1,0.8,0.583333333333333,0.833333333333333,18,1,5,1,1,1,1,1,4,3,1,1,2,2,3,2,2,2,4,3,2,3,3,3,1,4,4,4,4,2,0.666666666666667,1
"25",1246,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,0.5,0.2,0.333333333333333,0.5,21,1,5,1,1,1,1,1,3,1,1,1,3,4,3,4,4,2,2,4,3,3,4,3,3,2,4,2,3,2,0.5,0.5
"26",1300,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.6,0.416666666666667,0.583333333333333,18,2,1,1,1,2,3,4,3,1,4,2,1,1,4,1,1,3,3,2,3,2,2,4,3,1,4,4,3,3,0.5,0.666666666666667
"27",1333,1,1,1,1,1,1,1,0.916666666666667,1,18,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,4,4,4,4,4,1,1
"28",1382,0.333333333333333,0,0.333333333333333,0,0,0,0.4,0.333333333333333,0.166666666666667,18,2,1,1,2,2,1,2,3,3,1,3,2,3,1,4,4,2,1,4,2,1,4,4,4,3,3,4,3,3,0.166666666666667,0.166666666666667
"29",1403,0.333333333333333,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0.4,0.583333333333333,0.583333333333333,22,1,5,1,2,2,3,4,4,1,3,4,3,1,1,1,1,2,2,4,1,2,2,2,3,2,3,2,3,1,0.666666666666667,0.5
"30",1470,1,0.666666666666667,1,0,0.333333333333333,0.5,1,0.583333333333333,0.666666666666667,20,2,1,2,1,3,3,3,4,3,4,2,2,3,3,1,4,4,1,1,2,3,1,1,2,2,2,2,2,2,0.666666666666667,0.666666666666667
"31",1522,0,0.333333333333333,1,1,0.666666666666667,0.5,0.6,0.666666666666667,0.583333333333333,19,2,6,1,1,2,4,4,1,3,4,4,1,1,1,1,4,1,2,2,3,2,3,4,4,3,4,3,3,2,0.333333333333333,0.833333333333333
"32",1618,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0.4,0.25,0.25,19,2,1,2,1,3,1,3,1,1,1,1,4,4,2,4,4,4,2,2,2,4,2,2,3,3,1,3,3,1,0.166666666666667,0.333333333333333
"33",1699,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.4,0.416666666666667,0.333333333333333,19,2,2,2,2,4,3,1,2,1,3,4,2,3,1,2,3,1,4,3,2,4,2,4,1,1,3,4,1,2,0.166666666666667,0.5
"34",1736,1,0.666666666666667,0.333333333333333,0.666666666666667,1,0.75,0.4,0.5,0.666666666666667,20,2,2,1,1,1,1,1,1,1,1,4,2,4,1,2,1,4,4,3,4,3,3,3,1,4,1,2,4,4,0.833333333333333,0.5
"35",1766,1,1,0.333333333333333,0.333333333333333,1,0.5,0.6,0.25,0.666666666666667,20,1,1,1,2,2,3,1,3,4,4,1,1,1,3,2,1,3,3,1,3,2,2,2,1,3,2,1,3,3,0.666666666666667,0.666666666666667
"36",2002,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0,0.6,0.416666666666667,0.333333333333333,18,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,4,4,2,2,4,4,3,3,2,3,3,1,0,0.666666666666667
"37",2114,0.333333333333333,0,0,0,0,0,0.2,0.25,0.0833333333333333,21,2,4,1,2,4,2,4,2,1,4,3,1,1,2,1,2,2,2,2,2,1,2,2,3,1,3,3,3,1,0.166666666666667,0
"38",2142,0.333333333333333,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.6,0.5,0.416666666666667,19,2,2,2,2,3,3,4,3,3,3,2,2,3,4,1,4,4,1,3,1,2,4,3,2,3,3,3,2,4,0.166666666666667,0.666666666666667
"39",2163,1,0.666666666666667,1,0.666666666666667,1,0.5,1,0.583333333333333,0.833333333333333,18,1,1,2,1,3,3,1,3,3,3,2,4,2,3,4,4,4,1,4,2,1,1,3,2,2,2,2,2,2,0.666666666666667,1
"40",2249,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.75,0.6,0.416666666666667,0.583333333333333,19,2,2,1,2,2,3,1,1,1,1,4,3,2,4,3,4,4,2,2,2,2,2,2,3,2,3,3,3,3,0.666666666666667,0.5
"41",2264,0.666666666666667,0.666666666666667,0,0.666666666666667,1,0.75,0,0.5,0.5,18,2,7,1,1,2,4,1,4,4,4,4,1,3,3,3,3,3,3,2,1,2,2,2,3,3,2,1,1,1,0.666666666666667,0.333333333333333
"42",2333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.75,0.6,0.5,0.583333333333333,18,1,1,2,1,3,4,3,2,4,4,3,4,3,4,3,3,2,1,1,1,1,1,1,3,3,4,2,2,2,0.666666666666667,0.5
"43",2385,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.75,0.4,0.5,0.666666666666667,21,2,5,1,2,2,4,1,2,4,4,1,1,1,3,1,2,3,3,2,3,2,2,2,3,1,3,3,3,2,0.666666666666667,0.666666666666667
"44",2394,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.5,0.2,0.416666666666667,0.25,19,1,1,1,2,2,3,4,3,1,2,4,1,4,4,3,2,2,4,3,2,1,2,3,3,2,3,1,3,2,0.333333333333333,0.166666666666667
"45",2418,0,0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.4,0.5,0.25,18,2,1,1,2,1,2,3,2,2,2,2,3,2,2,1,3,2,1,2,3,3,1,1,4,4,4,2,4,2,0,0.5
"46",2419,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0.6,0.25,0.416666666666667,18,2,2,1,1,1,1,3,3,3,1,4,2,4,4,4,2,1,3,4,2,3,2,1,2,2,3,4,3,4,0.166666666666667,0.666666666666667
"47",2433,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0.25,0.6,0.416666666666667,0.416666666666667,18,2,1,1,2,1,2,2,4,4,1,3,4,1,2,3,4,2,3,3,3,1,3,4,1,1,4,4,2,4,0.333333333333333,0.5
"48",2437,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0.25,0.2,0.25,0.25,18,2,1,2,1,4,3,2,4,3,3,2,3,1,2,4,2,1,3,3,4,4,1,1,2,3,2,2,1,4,0.166666666666667,0.333333333333333
"49",2462,1,0.666666666666667,0.666666666666667,0,0.333333333333333,0.5,0.8,0.416666666666667,0.583333333333333,19,2,1,2,1,3,4,1,2,3,4,4,2,1,4,1,4,4,1,3,1,2,1,1,4,2,2,1,2,2,0.666666666666667,0.5
"50",2496,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.2,0.25,0.25,18,1,1,1,1,1,3,1,4,1,3,3,4,1,4,1,1,2,3,2,4,3,4,2,4,1,3,3,1,1,0.166666666666667,0.333333333333333
"51",2552,0.666666666666667,0,0.666666666666667,0.333333333333333,0,0.5,0.6,0.75,0.416666666666667,19,2,1,2,2,3,3,3,3,1,4,2,4,4,3,4,3,2,1,4,1,2,1,3,2,1,2,2,2,2,0.5,0.333333333333333
"52",2643,0.666666666666667,0.666666666666667,1,1,0.666666666666667,1,0.8,0.25,0.833333333333333,20,1,6,1,1,2,4,3,2,4,1,4,3,3,3,1,1,1,3,2,2,2,2,2,1,1,2,3,3,1,0.833333333333333,0.833333333333333
"53",2777,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.5,0.4,0.25,0.333333333333333,19,2,1,1,1,1,3,1,1,2,3,1,2,1,1,2,2,2,4,4,1,4,4,4,1,3,1,3,3,3,0.333333333333333,0.333333333333333
