ID,Age,Sex,Race,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
12,18,1,2,1,1,2,2,2,2,2,2,2,1,3,1,1,1,2,4,4,4,4,4,4,3,1,2,3,3,2
170,19,2,6,2,1,4,2,2,2,2,2,2,1,3,2,3,3,2,2,2,4,4,4,4,1,1,1,1,1,1
178,18,2,6,1,2,1,2,3,1,4,1,1,2,3,1,4,3,3,3,3,3,1,4,3,2,2,2,4,4,1
280,21,1,2,2,1,3,3,4,3,3,3,3,4,4,4,4,3,1,1,4,1,2,2,2,1,4,2,4,4,2
397,19,1,6,2,2,4,2,2,2,1,3,1,3,4,3,3,4,4,3,2,2,1,4,3,3,3,3,1,4,3
464,19,2,4,2,1,3,3,4,3,3,1,3,2,1,1,3,3,4,4,1,4,1,3,3,2,2,2,2,4,2
548,21,2,1,1,1,2,1,3,3,4,2,1,4,3,2,2,3,2,1,2,3,2,2,3,2,4,3,1,4,1
673,19,1,1,1,2,1,1,2,1,1,1,1,4,2,2,3,2,2,3,3,3,3,2,3,2,4,1,4,4,4
691,19,2,7,2,1,4,2,3,2,3,2,2,3,3,3,3,4,4,3,1,3,4,4,4,1,1,1,1,1,2
700,19,2,1,2,2,4,1,2,2,3,3,2,3,3,3,4,2,3,4,1,4,3,4,3,2,2,1,1,2,3
823,18,2,7,2,2,4,1,2,3,3,2,4,1,3,3,1,4,2,4,4,2,1,2,2,4,4,2,1,4,1
833,18,2,1,2,1,4,3,1,3,4,3,4,1,3,4,4,2,2,2,2,1,2,4,3,1,2,2,1,3,2
921,19,2,1,1,2,2,1,2,4,4,4,4,3,1,1,4,3,3,3,2,2,4,1,2,1,3,4,3,3,1
928,19,2,4,2,2,3,3,3,3,3,2,3,4,4,4,1,4,2,4,1,1,4,1,4,1,3,2,2,2,2
941,18,1,2,2,2,4,3,2,1,1,4,2,4,3,4,1,3,2,3,2,2,1,1,1,2,2,4,4,2,4
969,18,2,5,2,2,3,2,1,4,2,2,4,4,4,2,4,4,1,1,3,4,2,3,1,2,3,3,3,4,4
986,18,2,5,1,1,2,4,4,4,4,4,1,3,4,1,2,3,3,3,2,4,2,2,1,4,3,1,3,3,1
1026,19,2,6,2,1,3,3,2,2,4,1,1,1,1,3,1,3,2,2,1,1,3,4,4,2,1,3,2,2,2
